event_id,airtable_record_id,event_name,event_date,event_type,series,brand_partners,internal_external,store_key,is_offsite,n_stores,has_control,cost_state,cost_recorded,direct_cost,shared_cost_allocated,gross_cost,brand_offset,net_tta_cost,shared_lines,expected_attendance,expected_attendance_raw,event_date_export,shared_cost_allocated_export,gross_cost_export,net_tta_cost_export,realloc_delta,built_at
recpMJG3e9RCmnySg-1,recpMJG3e9RCmnySg,Rage & Release 5/7,2024-05-07,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-07,,,,0.0,2026-09-04 16:04:02.844652
recPXuVyLXpoFv8oc-2,recPXuVyLXpoFv8oc,Fifth Avenue Ribbon Cutting,2024-05-08,In-Store Activation,One-off,"",Internal,2,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-08,,,,0.0,2026-09-04 16:04:02.844652
recCVCC7tsrj4cwIY-2,recCVCC7tsrj4cwIY,"Mysha #MotherYourself 2024",2024-05-10,TTA Brand Event,One-off,Chime & Chill,External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-10,,,,0.0,2026-09-04 16:04:02.844652
recCVCC7tsrj4cwIY-1,recCVCC7tsrj4cwIY,"Mysha #MotherYourself 2024",2024-05-10,TTA Brand Event,One-off,Chime & Chill,External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-10,,,,0.0,2026-09-04 16:04:02.844652
recCVCC7tsrj4cwIY-4,recCVCC7tsrj4cwIY,"Mysha #MotherYourself 2024",2024-05-10,TTA Brand Event,One-off,Chime & Chill,External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-10,,,,0.0,2026-09-04 16:04:02.844652
recR6pWLo6S23olQx-4,recR6pWLo6S23olQx,Cannabis & Creativity Film Screening,2024-05-14,In-Store Activation,One-off,Etain,Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-14,,,,0.0,2026-09-04 16:04:02.844652
recDDLsfP9utiAeIY-1,recDDLsfP9utiAeIY,Rage & Release 5/14,2024-05-14,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-14,,,,0.0,2026-09-04 16:04:02.844652
recnvRJ5nnYdXdRZJ-2,recnvRJ5nnYdXdRZJ,Fifth Avenue First Look Event,2024-05-15,In-Store Activation,One-off,Edie Parker,Internal,2,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-15,,,,0.0,2026-09-04 16:04:02.844652
recpWtAf1Vu57BUz7-4,recpWtAf1Vu57BUz7,Green Market Report Women in Cannabis Summit,2024-05-16,Community Programming,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-16,,,,0.0,2026-09-04 16:04:02.844652
recpWtAf1Vu57BUz7-2,recpWtAf1Vu57BUz7,Green Market Report Women in Cannabis Summit,2024-05-16,Community Programming,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-16,,,,0.0,2026-09-04 16:04:02.844652
